Region,basecase,HR=2,HR=4,dynamic HR
AMR, 4 780 000,  5 300 000, 4 300 000,  5 740 000
EMR, 7 750 000,  8 380 000, 7 170 000,  8 790 000
AFR,15 200 000, 17 100 000,13 600 000, 17 400 000
EUR, 6 020 000,  6 690 000, 5 430 000,  7 250 000
WPR,21 000 000, 22 900 000,19 400 000, 24 000 000
SEA,41 700 000, 45 400 000,38 300 000, 47 600 000
Global,96 400 000,106 000 000,88 200 000,111 000 000
AMR,   734 000,    814 000,   662 000,    881 000
EMR, 4 870 000,  5 330 000, 4 460 000,  5 670 000
AFR,10 500 000, 11 600 000, 9 500 000, 12 200 000
EUR,   693 000,    774 000,   622 000,    854 000
WPR,10 800 000, 12 200 000, 9 710 000, 13 600 000
SEA,30 500 000, 33 800 000,27 600 000, 36 500 000
Global,58 200 000, 64 500 000,52 500 000, 69 600 000
